Task-ID STL MTL FineTuning GradNorm(0.1) GradNorm(0.5) RMTL LBTW(0.1) LBTW(0.5)
PCBA-485341 0.028 0.026 0.026 0.025 0.025 0.034 0.031 0.033
PCBA-485349 0.009 0.033 0.007 0.011 0.011 0.062 0.028 0.026
PCBA-485353 0.109 0.071 0.099 0.099 0.067 0.098 0.064 0.098
PCBA-485360 0.195 0.276 0.215 0.218 0.205 0.250 0.262 0.280
PCBA-485364 0.450 0.464 0.467 0.336 0.332 0.460 0.454 0.454
PCBA-485367 0.146 0.113 0.183 0.057 0.025 0.172 0.137 0.108
PCBA-492947 0.000 0.003 0.023 0.012 0.008 0.004 0.004 0.013
PCBA-493208 0.250 0.241 0.244 0.227 0.213 0.236 0.147 0.214
PCBA-504327 0.108 0.159 0.116 0.140 0.117 0.126 0.165 0.160
PCBA-504332 0.526 0.527 0.533 0.427 0.439 0.533 0.524 0.525
PCBA-504333 0.534 0.570 0.555 0.438 0.465 0.556 0.562 0.562
PCBA-504339 0.542 0.555 0.550 0.464 0.469 0.552 0.557 0.557
PCBA-504444 0.235 0.244 0.243 0.145 0.151 0.243 0.260 0.248
PCBA-504466 0.276 0.353 0.280 0.217 0.228 0.321 0.348 0.347
PCBA-504467 0.296 0.311 0.291 0.203 0.224 0.313 0.298 0.298
PCBA-504706 0.002 0.017 0.017 0.017 0.011 0.020 0.016 0.014
PCBA-504842 0.013 0.030 0.101 0.072 0.147 0.007 0.009 0.157
PCBA-504845 0.004 0.023 0.010 0.009 0.034 0.020 0.023 0.024
PCBA-504847 0.287 0.312 0.301 0.158 0.153 0.310 0.312 0.302
PCBA-504891 0.000 0.163 0.125 0.097 0.265 0.064 0.111 0.463
PCBA-540276 0.230 0.312 0.238 0.217 0.213 0.278 0.320 0.308
PCBA-540317 0.202 0.255 0.222 0.210 0.184 0.250 0.251 0.271
PCBA-588342 0.686 0.667 0.689 0.515 0.558 0.666 0.665 0.674
PCBA-588453 0.372 0.419 0.372 0.266 0.230 0.411 0.388 0.393
PCBA-588456 0.099 0.311 0.108 0.298 0.308 0.207 0.362 0.387
PCBA-588579 0.321 0.353 0.304 0.315 0.272 0.367 0.364 0.357
PCBA-588590 0.270 0.302 0.289 0.261 0.241 0.294 0.299 0.296
PCBA-588591 0.372 0.380 0.378 0.314 0.295 0.386 0.381 0.369
PCBA-588795 0.261 0.332 0.254 0.266 0.198 0.292 0.336 0.335
PCBA-588855 0.256 0.302 0.265 0.219 0.205 0.293 0.294 0.306
PCBA-602179 0.003 0.010 0.006 0.007 0.007 0.020 0.022 0.026
PCBA-602233 0.031 0.063 0.083 0.105 0.104 0.133 0.159 0.127
PCBA-602310 0.037 0.069 0.031 0.022 0.010 0.040 0.057 0.049
PCBA-602313 0.047 0.079 0.056 0.062 0.023 0.067 0.086 0.100
PCBA-602332 0.000 0.002 0.000 0.001 0.002 0.001 0.001 0.002
PCBA-624170 0.035 0.069 0.048 0.050 0.042 0.062 0.075 0.043
PCBA-624171 0.103 0.102 0.096 0.046 0.035 0.114 0.088 0.106
PCBA-624173 0.367 0.363 0.390 0.378 0.304 0.393 0.429 0.424
PCBA-624202 0.083 0.116 0.080 0.074 0.072 0.102 0.115 0.114
PCBA-624246 0.053 0.066 0.053 0.228 0.060 0.054 0.197 0.169
PCBA-624287 0.013 0.017 0.008 0.011 0.002 0.009 0.014 0.042
PCBA-624288 0.025 0.039 0.022 0.019 0.019 0.049 0.038 0.036
PCBA-624291 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
PCBA-624296 0.247 0.305 0.258 0.193 0.207 0.279 0.295 0.291
PCBA-624297 0.214 0.256 0.218 0.135 0.147 0.228 0.255 0.223
PCBA-624417 0.175 0.172 0.183 0.112 0.120 0.181 0.199 0.179
PCBA-651635 0.332 0.386 0.341 0.244 0.244 0.363 0.370 0.383
PCBA-651644 0.230 0.231 0.229 0.118 0.075 0.205 0.176 0.185
PCBA-651768 0.249 0.288 0.206 0.243 0.212 0.268 0.293 0.295
PCBA-651965 0.187 0.159 0.170 0.071 0.070 0.169 0.147 0.144
PCBA-652025 0.038 0.069 0.021 0.013 0.006 0.036 0.051 0.091
PCBA-652104 0.127 0.128 0.133 0.073 0.063 0.130 0.124 0.111
PCBA-652105 0.369 0.361 0.391 0.287 0.271 0.362 0.364 0.346
PCBA-652106 0.025 0.024 0.053 0.008 0.007 0.014 0.017 0.026
PCBA-686970 0.241 0.298 0.252 0.203 0.202 0.270 0.319 0.314
PCBA-686978 0.713 0.734 0.721 0.602 0.644 0.724 0.732 0.734
PCBA-686979 0.642 0.683 0.661 0.543 0.584 0.671 0.681 0.680
PCBA-720504 0.257 0.265 0.254 0.169 0.170 0.263 0.248 0.255
PCBA-720532 0.538 0.570 0.576 0.490 0.490 0.539 0.566 0.545
PCBA-720542 0.221 0.258 0.191 0.152 0.099 0.243 0.260 0.261
PCBA-720551 0.080 0.095 0.076 0.035 0.029 0.086 0.113 0.114
PCBA-720553 0.133 0.155 0.125 0.082 0.059 0.124 0.158 0.162
PCBA-720579 0.197 0.216 0.200 0.162 0.144 0.206 0.227 0.218
PCBA-720580 0.245 0.261 0.233 0.172 0.149 0.260 0.279 0.268
PCBA-720707 0.086 0.069 0.058 0.061 0.012 0.169 0.124 0.084
PCBA-720708 0.036 0.041 0.038 0.025 0.022 0.032 0.054 0.046
PCBA-720709 0.066 0.123 0.074 0.109 0.081 0.087 0.165 0.136
PCBA-720711 0.065 0.122 0.061 0.080 0.014 0.132 0.152 0.134
PCBA-743255 0.286 0.276 0.309 0.198 0.129 0.295 0.256 0.247
PCBA-743266 0.003 0.001 0.004 0.001 0.001 0.001 0.001 0.001
PCBA-875 0.447 0.215 0.478 0.339 0.429 0.257 0.309 0.343
PCBA-881 0.383 0.290 0.370 0.291 0.212 0.323 0.295 0.292
PCBA-883 0.639 0.641 0.665 0.553 0.588 0.611 0.636 0.618
PCBA-884 0.860 0.830 0.873 0.792 0.824 0.847 0.828 0.826
PCBA-885 0.366 0.248 0.362 0.352 0.354 0.256 0.419 0.388
PCBA-887 0.196 0.178 0.193 0.136 0.139 0.170 0.177 0.165
PCBA-891 0.673 0.664 0.710 0.606 0.675 0.675 0.675 0.678
PCBA-899 0.711 0.692 0.721 0.666 0.698 0.734 0.695 0.716
PCBA-902 0.249 0.314 0.238 0.192 0.232 0.317 0.312 0.305
PCBA-903 0.292 0.369 0.350 0.237 0.272 0.390 0.403 0.455
PCBA-904 0.203 0.221 0.171 0.112 0.136 0.138 0.249 0.196
PCBA-912 0.106 0.143 0.108 0.101 0.123 0.085 0.102 0.127
PCBA-914 0.662 0.575 0.693 0.467 0.458 0.550 0.589 0.537
PCBA-915 0.372 0.274 0.435 0.287 0.301 0.301 0.349 0.317
PCBA-924 0.246 0.387 0.262 0.223 0.265 0.368 0.372 0.390
PCBA-925 0.220 0.041 0.077 0.028 0.073 0.005 0.093 0.094
PCBA-926 0.040 0.015 0.029 0.018 0.013 0.014 0.011 0.021
PCBA-927 0.056 0.013 0.029 0.010 0.024 0.008 0.014 0.009
PCBA-938 0.249 0.175 0.250 0.153 0.124 0.206 0.183 0.188
PCBA-995 0.054 0.070 0.075 0.058 0.056 0.062 0.088 0.081
PCBA-1030 0.801 0.799 0.806 0.731 0.755 0.803 0.798 0.792
PCBA-1379 0.893 0.951 0.893 0.944 0.930 0.944 0.954 0.958
PCBA-1452 0.805 0.908 0.750 0.837 0.873 0.863 0.902 0.908
PCBA-1454 0.774 0.898 0.765 0.869 0.883 0.903 0.901 0.900
PCBA-1457 0.800 0.848 0.813 0.853 0.786 0.852 0.880 0.856
PCBA-1458 0.884 0.906 0.880 0.877 0.883 0.902 0.908 0.907
PCBA-1460 0.937 0.941 0.939 0.920 0.922 0.944 0.947 0.940
PCBA-1461 0.816 0.856 0.802 0.833 0.837 0.847 0.867 0.858
PCBA-1468 0.886 0.906 0.904 0.886 0.855 0.912 0.903 0.912
PCBA-1469 0.852 0.936 0.915 0.956 0.944 0.962 0.945 0.953
PCBA-1471 0.524 0.544 0.470 0.581 0.560 0.595 0.599 0.553
PCBA-1479 0.710 0.683 0.698 0.706 0.699 0.717 0.697 0.730
PCBA-1631 0.824 0.824 0.830 0.800 0.769 0.853 0.834 0.810
PCBA-1634 0.910 0.942 0.895 0.947 0.950 0.942 0.935 0.958
PCBA-1688 0.733 0.810 0.720 0.758 0.768 0.792 0.809 0.804
PCBA-1721 0.914 0.954 0.924 0.945 0.939 0.947 0.947 0.951
PCBA-2100 0.880 0.880 0.885 0.858 0.835 0.888 0.890 0.884
PCBA-2101 0.782 0.879 0.778 0.872 0.806 0.878 0.859 0.875
PCBA-2147 0.846 0.870 0.854 0.836 0.842 0.872 0.869 0.865
PCBA-2242 0.955 0.958 0.933 0.934 0.907 0.967 0.963 0.965
PCBA-2326 0.728 0.751 0.746 0.747 0.742 0.752 0.749 0.753
PCBA-2451 0.882 0.894 0.876 0.867 0.878 0.902 0.900 0.893
PCBA-2517 0.846 0.890 0.867 0.868 0.868 0.888 0.892 0.887
PCBA-2528 0.855 0.923 0.853 0.920 0.892 0.921 0.904 0.934
PCBA-2546 0.882 0.904 0.884 0.871 0.884 0.905 0.912 0.914
PCBA-2549 0.804 0.865 0.810 0.848 0.846 0.865 0.868 0.872
PCBA-2551 0.913 0.920 0.915 0.893 0.899 0.921 0.922 0.922
PCBA-2662 0.686 0.907 0.712 0.921 0.866 0.895 0.880 0.856
PCBA-2675 0.633 0.687 0.608 0.737 0.741 0.634 0.763 0.827
PCBA-2676 0.836 0.872 0.839 0.837 0.766 0.892 0.887 0.890
PCBA-411 0.882 0.933 0.876 0.905 0.916 0.922 0.938 0.934
PCBA-463254 0.566 0.693 0.590 0.805 0.724 0.719 0.720 0.803
PCBA-485281 0.705 0.742 0.676 0.698 0.670 0.707 0.721 0.726
PCBA-485290 0.781 0.833 0.776 0.821 0.810 0.812 0.841 0.836
PCBA-485294 0.578 0.859 0.777 0.842 0.866 0.860 0.890 0.868
PCBA-485297 0.932 0.944 0.929 0.914 0.921 0.941 0.944 0.948
PCBA-485313 0.930 0.947 0.930 0.918 0.922 0.944 0.946 0.950
PCBA-485314 0.851 0.883 0.866 0.850 0.851 0.880 0.874 0.874
PCBA-485341 0.725 0.730 0.728 0.742 0.701 0.746 0.740 0.753
PCBA-485349 0.655 0.749 0.578 0.741 0.744 0.749 0.751 0.747
PCBA-485353 0.713 0.774 0.726 0.790 0.774 0.764 0.777 0.771
PCBA-485360 0.829 0.905 0.858 0.875 0.870 0.893 0.899 0.908
PCBA-485364 0.887 0.885 0.889 0.847 0.851 0.889 0.882 0.884
PCBA-485367 0.847 0.835 0.844 0.829 0.736 0.876 0.843 0.850
PCBA-492947 0.463 0.879 0.660 0.854 0.808 0.803 0.889 0.799
PCBA-493208 0.733 0.781 0.778 0.795 0.777 0.808 0.778 0.775
PCBA-504327 0.715 0.844 0.761 0.828 0.820 0.854 0.868 0.849
PCBA-504332 0.842 0.842 0.845 0.790 0.803 0.845 0.842 0.843
PCBA-504333 0.892 0.909 0.900 0.869 0.878 0.910 0.908 0.910
PCBA-504339 0.870 0.885 0.875 0.854 0.858 0.884 0.888 0.885
PCBA-504444 0.805 0.854 0.804 0.798 0.807 0.845 0.856 0.855
PCBA-504466 0.895 0.927 0.894 0.898 0.899 0.918 0.923 0.930
PCBA-504467 0.851 0.876 0.847 0.834 0.843 0.875 0.872 0.870
PCBA-504706 0.687 0.923 0.702 0.852 0.873 0.880 0.911 0.902
PCBA-504842 0.604 0.777 0.779 0.875 0.875 0.775 0.800 0.824
PCBA-504845 0.883 0.926 0.905 0.919 0.903 0.863 0.899 0.918
PCBA-504847 0.855 0.884 0.863 0.844 0.837 0.873 0.886 0.890
PCBA-504891 0.520 0.999 0.507 0.998 0.999 0.996 0.998 0.999
PCBA-540276 0.811 0.880 0.813 0.837 0.847 0.865 0.887 0.880
PCBA-540317 0.905 0.933 0.899 0.917 0.920 0.938 0.937 0.937
PCBA-588342 0.933 0.930 0.936 0.889 0.903 0.932 0.929 0.931
PCBA-588453 0.894 0.922 0.896 0.888 0.885 0.921 0.917 0.915
PCBA-588456 0.715 0.914 0.767 0.962 0.871 0.951 0.963 0.955
PCBA-588579 0.913 0.931 0.908 0.921 0.911 0.926 0.931 0.930
PCBA-588590 0.843 0.880 0.845 0.853 0.843 0.868 0.875 0.872
PCBA-588591 0.916 0.923 0.915 0.905 0.896 0.927 0.924 0.925
PCBA-588795 0.933 0.948 0.919 0.921 0.912 0.942 0.939 0.946
PCBA-588855 0.852 0.901 0.853 0.869 0.876 0.903 0.904 0.906
PCBA-602179 0.612 0.804 0.649 0.815 0.812 0.819 0.824 0.858
PCBA-602233 0.826 0.965 0.888 0.951 0.960 0.937 0.973 0.961
PCBA-602310 0.837 0.904 0.700 0.886 0.893 0.905 0.891 0.889
PCBA-602313 0.860 0.904 0.838 0.886 0.866 0.908 0.917 0.909
PCBA-602332 0.587 0.642 0.493 0.612 0.718 0.585 0.654 0.715
PCBA-624170 0.742 0.884 0.816 0.836 0.835 0.869 0.857 0.876
PCBA-624171 0.906 0.911 0.900 0.884 0.877 0.918 0.910 0.916
PCBA-624173 0.876 0.925 0.888 0.925 0.928 0.929 0.931 0.944
PCBA-624202 0.853 0.894 0.849 0.861 0.868 0.891 0.893 0.896
PCBA-624246 0.431 0.783 0.407 0.787 0.758 0.693 0.697 0.779
PCBA-624287 0.769 0.793 0.737 0.740 0.600 0.773 0.786 0.787
PCBA-624288 0.699 0.797 0.705 0.761 0.762 0.785 0.794 0.784
PCBA-624291 0.567 0.497 0.597 0.536 0.569 0.512 0.505 0.519
PCBA-624296 0.808 0.845 0.810 0.811 0.816 0.837 0.845 0.845
PCBA-624297 0.771 0.820 0.787 0.785 0.792 0.812 0.823 0.825
PCBA-624417 0.841 0.867 0.852 0.828 0.834 0.861 0.877 0.866
PCBA-651635 0.882 0.919 0.877 0.897 0.897 0.915 0.921 0.924
PCBA-651644 0.886 0.945 0.890 0.928 0.928 0.943 0.936 0.947
PCBA-651768 0.874 0.929 0.883 0.914 0.905 0.919 0.932 0.928
PCBA-651965 0.781 0.766 0.778 0.704 0.706 0.773 0.762 0.762
PCBA-652025 0.742 0.893 0.803 0.900 0.861 0.870 0.916 0.879
PCBA-652104 0.825 0.828 0.822 0.790 0.778 0.837 0.835 0.824
PCBA-652105 0.882 0.897 0.890 0.871 0.870 0.897 0.902 0.893
PCBA-652106 0.729 0.784 0.688 0.784 0.776 0.801 0.818 0.816
PCBA-686970 0.834 0.887 0.841 0.843 0.855 0.878 0.888 0.893
PCBA-686978 0.885 0.892 0.890 0.835 0.854 0.889 0.894 0.893
PCBA-686979 0.876 0.890 0.879 0.833 0.850 0.887 0.891 0.891
PCBA-720504 0.730 0.734 0.735 0.708 0.709 0.738 0.737 0.734
PCBA-720532 0.833 0.876 0.871 0.829 0.840 0.858 0.875 0.875
PCBA-720542 0.875 0.946 0.851 0.910 0.915 0.918 0.944 0.948
PCBA-720551 0.690 0.712 0.707 0.709 0.697 0.721 0.717 0.720
PCBA-720553 0.744 0.759 0.744 0.753 0.754 0.754 0.760 0.752
PCBA-720579 0.784 0.862 0.811 0.848 0.853 0.871 0.864 0.879
PCBA-720580 0.857 0.875 0.853 0.866 0.869 0.880 0.883 0.892
PCBA-720707 0.666 0.760 0.706 0.770 0.730 0.777 0.752 0.795
PCBA-720708 0.830 0.864 0.821 0.839 0.814 0.843 0.843 0.838
PCBA-720709 0.883 0.939 0.878 0.924 0.907 0.916 0.948 0.939
PCBA-720711 0.780 0.913 0.866 0.907 0.864 0.888 0.897 0.897
PCBA-743255 0.888 0.921 0.896 0.905 0.892 0.914 0.919 0.922
PCBA-743266 0.520 0.512 0.570 0.550 0.546 0.478 0.547 0.556
PCBA-875 0.800 0.936 0.900 0.921 0.870 0.894 0.914 0.891
PCBA-881 0.858 0.934 0.851 0.921 0.941 0.949 0.942 0.955
PCBA-883 0.835 0.851 0.856 0.791 0.807 0.832 0.834 0.832
PCBA-884 0.910 0.893 0.916 0.868 0.889 0.903 0.896 0.892
PCBA-885 0.903 0.850 0.932 0.906 0.816 0.827 0.895 0.872
PCBA-887 0.718 0.807 0.764 0.785 0.781 0.806 0.777 0.792
PCBA-891 0.830 0.849 0.854 0.831 0.858 0.851 0.853 0.856
PCBA-899 0.837 0.855 0.838 0.830 0.844 0.856 0.851 0.854
PCBA-902 0.826 0.899 0.819 0.867 0.874 0.892 0.893 0.898
PCBA-903 0.859 0.938 0.810 0.888 0.895 0.919 0.938 0.931
PCBA-904 0.783 0.897 0.747 0.827 0.853 0.854 0.892 0.889
PCBA-912 0.715 0.840 0.688 0.819 0.828 0.848 0.843 0.867
PCBA-914 0.879 0.902 0.903 0.888 0.865 0.893 0.925 0.912
PCBA-915 0.755 0.812 0.842 0.806 0.807 0.800 0.818 0.828
PCBA-924 0.785 0.921 0.876 0.895 0.906 0.924 0.930 0.936
PCBA-925 0.860 0.884 0.648 0.881 0.926 0.851 0.870 0.952
PCBA-926 0.666 0.723 0.695 0.726 0.699 0.726 0.662 0.715
PCBA-927 0.816 0.700 0.731 0.744 0.696 0.705 0.725 0.753
PCBA-938 0.791 0.810 0.792 0.783 0.770 0.804 0.795 0.797
PCBA-995 0.761 0.796 0.770 0.781 0.803 0.798 0.796 0.808

